"Book","Author(s)","Original language","First published","Approximate sales"
"A Tale Of Two Cities","Charles Dickens","English",1859,"200 million[5]"
"The Lord of the Rings","J. R. R. Tolkien","English","1954–1955","150 million[6]"
"The Hobbit","J. R. R. Tolkien","English",1937,"140.6 million[7]"
"The Little Prince","Antoine de Saint-Exupéry","French[Note 1]",1943,"140 million[8][9]"
"Harry Potter and the Philosopher's Stone","J. K. Rowling","English",1997,"107 million[10]"
"And Then There Were None","Agatha Christie","English",1939,"100 million[10]"
"The Lion, the Witch and the Wardrobe","C. S. Lewis","English",1950,"85 million[14]"
"The Da Vinci Code","Dan Brown","English",2003,"80 million[15]"
"Think and Grow Rich","Napoleon Hill","English",1937,"70 million[16]"
"Harry Potter and the Half-Blood Prince","J. K. Rowling","English",2005,"65 million[10]"
"The Catcher in the Rye","J. D. Salinger","English",1951,"65 million[17]"
"The Alchemist","Paulo Coelho","Portuguese",1988,"65 million[18]"
"Harry Potter and the Chamber of Secrets","J. K. Rowling","English",1998,"60 million[10]"
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","English",1998,"55 million[10]"
"Harry Potter and the Goblet of Fire","J. K. Rowling","English",2000,"55 million[10]"
"Harry Potter and the Order of the Phoenix","J. K. Rowling","English",2003,"55 million[10]"
"Harry Potter and the Deathly Hallows","J. K. Rowling","English",2007,"50 million[10]"
"One Hundred Years of Solitude","Gabriel García Márquez","Spanish",1967,"50 million[19][20][21]"
"Lolita","Vladimir Nabokov","English",1955,"50 million[22]"
"The Common Sense Book of Baby and Child Care","Dr. Benjamin Spock","English",1946,"50 million[24]"
"Anne of Green Gables","Lucy Maud Montgomery","English",1908,"50 million[25]"
"Black Beauty: His Grooms and Companions: The autobiography of a horse","Anna Sewell","English",1877,"50 million[26]"
"The Name of the Rose","Umberto Eco","Italian",1980,"50 million[27]"
"The Eagle Has Landed","Jack Higgins","English",1975,"50 million[28]"
"Watership Down","Richard Adams","English",1972,"50 million[29]"
"Charlotte's Web","E.B. White; illustrated by Garth Williams","English",1952,"50 million[31]"
"The Ginger Man","J. P. Donleavy","English",1955,"50 million[32]"
"The Bridges of Madison County","Robert James Waller","English",1992,"50 million[33]"
"Ben-Hur: A Tale of the Christ","Lew Wallace","English",1880,"50 million[10]"
"The Mark of Zorro","Johnston McCulley","English",1924,"50 million[10]"
